Year,Fund Code,Dept Number,Appropriation Authority,Description,Previous Year Grant,Anticipated Grant,Carryover,Year Total
2017,2993,084,0L49,Illinois Transportation Enhancement Program,4950000,,,
2017,2906,084,0L83,Major Bridge - Federal,,14500000,,14500000
2017,2906,084,0L39,Major Bridge - Federal,2400000,,,
2017,2901,084,0M07,Outside Funding Contributions,1000000,1000000,,1000000
2017,2864,084,0L35,Roadway Beautification and Enhancement,,4223000,,4223000
2017,2921,084,0L41,Safe Routes to School,1600000,,,
2017,2921,084,0L84,Safe Routes to School,,1500000,,1500000
2017,2992,084,0L85,State Only Chicago Commitment,,110000000,,110000000
2017,2992,084,0L48,State Only Chicago Commitment,75000000,,,
2017,2981,084,0L86,State Planning and Research,,240000,,240000
2017,2981,084,0L60,State Planning and Research,240000,,,
2017,2820,084,0L33,Surface Transportation Program - Federal - Construction,115000000,,,
2017,2820,084,0L87,Surface Transportation Program - Federal - Construction,,160000000,,160000000
2017,280C,084,0L52,Transit Signal Priority,8000000,,,
2017,2994,084,0L89,Transportation Alternatives Program,,18286000,,18286000
2017,2994,084,0L50,Transportation Alternatives Program,7500000,,,
2017,2919,084,0L40,Transportation Investments Generating Economic Recovery,18760000,,,
2017,2919,084,0L90,Transportation Investments Generating Economic Recovery,,18760000,,18760000
2017,2825,084,0L34,Transportation Planning,1140000,,,
2017,2825,084,0L91,Transportation Planning,,1140000,,1140000
2017,2825,084,0L91,Total - 084 - Chicago Department of Transportation,309818000,438857000,,438857000
2017,2824,085,0623,Midway - AIP - Noise Program,17500000,12860000,15000000,27860000
2017,2805,085,0623,Midway - Airport Improvement Program,13791000,25791000,2000000,27791000
2017,2807,085,0623,Midway TSA,1647000,45000000,900000,45900000
2017,2810,085,0624,O'Hare - Airport Improvement Program,70989000,67000000,65000000,132000000
2017,2813,085,0624,O'Hare - Airport Improvement Program (AIP) - Noise Program,20000000,20000000,18000000,38000000
2017,2811,085,0624,O'Hare - Transportation Security Administration,30146000,25000000,27500000,52500000
2017,2815,085,0624,O'Hare / Midway - TSA National Explosives Detection Canine Team Program,1263000,1800000,,1800000
2017,2800,085,0624,O'Hare Airport - FAA (MOA) - Phase II,10100000,16000000,3600000,19600000
2017,2816,085,0R11,O'Hare Airport - Public Sector Electric Energy Efficiency Program,1000000,2000000,800000,2800000
2017,2816,085,0R11,Total - 085 - Department of Aviation,166436000,215451000,132800000,348251000
2017,2809,088,0J86,Albany Park Flood Control Project 1,11000000,,11000000,11000000
2017,2880,088,0J63,Community Development Block Grant - Disaster Recovery,38475000,,7475000,7475000
2017,2880,088,0J63,Total - 088 - Department of Water Management,49475000,,18475000,18475000
2017,2880,088,0J63,Total - Infrastructure Services,525729000,654308000,151275000,805583000
2017,280C,057,0K78,Anti-Terrorism and Emergency Assistance,660000,,584000,584000
2017,2816,057,0B17,Asset Forfeiture - Federal,1938000,3055000,,3055000
2017,2816,057,0657,Asset Forfeiture - Federal,543000,691000,,691000
2017,2817,057,0191,Asset Forfeiture - State,2377000,1915000,,1915000
2017,280H,057,0V10,BJA Body Worn Cameras,2190000,,1390000,1390000
2017,2983,057,0P84,COPS Hiring Program,1500000,,,
2017,2997,057,0K55,COPS Hiring Program,1813000,,,
2017,2983,057,0K62,COPS Hiring Program,3125000,,2530000,2530000
2017,2983,057,0V00,COPS Hiring Program,3125000,,1626000,1626000
2017,2983,057,0V18,COPS Hiring Program,,3125000,,3125000
2017,2909,057,0K86,Community Policing Development,100000,,42000,42000
2017,2996,057,0V19,Edward Byrne Memorial Justice Assistance Grant (JAG),,3200000,,3200000
2017,2996,057,0K65,Edward Byrne Memorial Justice Assistance Grant (JAG),2179000,,1492000,1492000
2017,2996,057,0V03,Edward Byrne Memorial Justice Assistance Grant (JAG),2334000,,2334000,2334000
2017,2985,057,0P68,Edward Byrne Memorial Justice Assistance Grant (JAG),3100000,,1695000,1695000
2017,2996,057,0J14,Edward Byrne Memorial Justice Assistance Grant (JAG),850000,,850000,850000
2017,2999,057,0K76,Get Behind The Vest,1200000,1000000,200000,1200000
2017,2968,057,0V20,IDOT Sustained Traffic Enforcement Program (STEP),,396000,,396000
2017,2968,057,0K99,IDOT Sustained Traffic Enforcement Program (STEP),382000,,,
2017,2987,057,0V21,Injury Prevention,,150000,,150000
2017,2987,057,0V01,Injury Prevention,144000,,,
2017,2935,057,0P19,Justice and Mental Health Collaboration,180000,,140000,140000
2017,2995,057,0V02,Local Alcohol Program,540000,,,
2017,2995,057,0V22,Local Alcohol Program,,553000,,553000
2017,280G,057,0V05,National Crime Statistics Exchange,210000,,,
2017,2882,057,0V13,National Explosives Detection Canine Team Program,657000,758000,,758000
2017,280D,057,0K79,Optimizing Video Technology in Urban Policing,529000,,98000,98000
2017,280D,057,0V08,Optimizing Video Technology in Urban Policing,542000,,542000,542000
2017,280N,057,0V39,Port Security,159000,,,
2017,2953,057,0P19,Predictive Policing,360000,,,
2017,2854,057,0P87,Public Safety Private Support,309000,200000,7000,207000
2017,2912,057,0P19,Safe Routes to Schools,157000,,102000,102000
2017,2982,057,0P39,Smart Policing Innovation,631000,,631000,631000
2017,2921,057,0K59,Transit Security,56000,,,
2017,2921,057,0K98,Transit Security,4141000,,576000,576000
2017,2921,057,0V14,Transit Security,,4141000,,4141000
2017,2844,057,0V33,Violence Against Women - Domestic Violence Protection,97000,,97000,97000
2017,2842,057,0V34,Violence Against Women - Sexual Assault Program,57000,,57000,57000
2017,280P,057,0V38,Vision Zero,76000,,,
2017,280P,057,0V38,Total - 057 - Department of Police,36261000,19184000,14993000,34177000
2017,2826,058,0M02,ComEd - Weather Emergency Grant,47000,,47000,47000
2017,2820,058,0K95,Emergency Management Assistance,685000,,,
2017,2820,058,0V25,Emergency Management Assistance,,625000,,625000
2017,2898,058,0V09,Emergency Management Private Support,5000,5000,5000,10000
2017,2898,058,0K87,Emergency Management Private Support,5000,,,
2017,2888,058,0M11,Hazard Mitigation,442000,,442000,442000
2017,2835,058,0M02,Nextel Frequency Reconfiguration Project,493000,,493000,493000
2017,2831,058,0K85,Port Security Grant,488000,,,
2017,2831,058,0V26,Port Security Grant,,1500000,,1500000
2017,2855,058,0783,Traffic Management Authority Control Aides,460000,265000,241000,506000
2017,2811,058,0N31,Urban Areas Security Initiative - Phse 3 (ODP),35000000,,,
2017,2811,058,0K68,Urban Areas Security Initiative - Phse 3 (ODP),39728853,,35000000,35000000
2017,2811,058,0K94,Urban Areas Security Initiative - Phse 3 (ODP),40978000,,40978000,40978000
2017,2811,058,0V27,Urban Areas Security Initiative - Phse 3 (ODP),,45000000,,45000000
2017,2893,058,0V31,Video Surveillance Network,,1000000,,1000000
2017,2893,058,0M14,Video Surveillance Network,1000000,,,
2017,2893,058,0M14,Total - 058 - Office of Emergency Management and Communications,119331853,48395000,77206000,125601000
2017,2812,059,0V29,Assistance to Firefighters,,2750000,,2750000
2017,2812,059,0J18,Assistance to Firefighters,3059000,,3059000,3059000
2017,2810,059,0K72,Fire Academy Training and Improvement,2482000,,,
2017,2810,059,0V37,Fire Academy Training and Improvement,,2690000,,2690000
2017,2810,059,0V30,Fire Academy Training and Improvement,2690000,,2690000,2690000
2017,2810,059,0K93,Fire Academy Training and Improvement,2545000,,,
2017,2824,059,0V36,Port Security,90000,,90000,90000
2017,2823,059,0V35,Securing the City,3500000,,3500000,3500000
2017,2823,059,0V35,Total - 059 - Fire Department,14366000,5440000,9339000,14779000
2017,2823,059,0V35,Total - Public Safety,169958853,73019000,101538000,174557000
2017,2979,041,0X97,Adult Viral Hepatitis,150000,,,
2017,2714,041,0X59,Air Pollution Control Program,,412000,,412000
2017,2714,041,0X12,Air Pollution Control Program,412000,,,
2017,280S,041,0X94,All Hazard Emergencies - ZIKA,68000,,,
2017,280B,041,0X04,Antiterrorism Crime Victim Response,116000,,,
2017,2883,041,0X34,Bioterrorism Hospital Preparedness Program,2764000,,129000,129000
2017,2883,041,0X60,Bioterrorism Hospital Preparedness Program,,2764000,,2764000
2017,2883,041,0H75,Bioterrorism Hospital Preparedness Program,2919000,,,
2017,2829,041,0H42,Bioterrorism Preparedness Response Planning,2097000,,,
2017,2829,041,0X61,Bioterrorism Preparedness Response Planning,,7704681,,7704681
2017,2829,041,0X29,Bioterrorism Preparedness Response Planning,9343214,,1060000,1060000
2017,2983,041,0X62,Breastfeeding Peer Counseling,,14000,,14000
2017,2983,041,0X45,Breastfeeding Peer Counseling,14000,,,
2017,280K,041,0X47,Building & Strengthening Epidemiology & Health IT Capacity - Ebola Supplement,3068000,,3000000,3000000
2017,2710,041,0X63,Building Epidemiology and Health IT Capacity,,1851000,,1851000
2017,2710,041,0X10,Building Epidemiology and Health IT Capacity,1851000,,,
2017,2710,041,0H50,Building Epidemiology and Health IT Capacity,649000,,,
2017,280R,041,0U01,C3 Clinical And Translation Research,120000,,120000,120000
2017,280H,041,0U02,CIFOR Implementation Training,5000,,5000,5000
2017,2700,041,0X09,Care Van Blue Cross,75000,75000,,75000
2017,2894,041,0X37,Chicago Family Case Management,1335000,,,
2017,2894,041,0X64,Chicago Family Case Management,,1335000,,1335000
2017,280C,041,0X49,Child and Adult Care Food Program,30000,30000,19000,49000
2017,2804,041,0X65,Childhood Lead Poisoning Prevention,,313000,,313000
2017,2804,041,0H15,Childhood Lead Poisoning Prevention,43000,,,
2017,2804,041,0X22,Childhood Lead Poisoning Prevention,280000,,,
2017,2713,041,0H29,Dating Matters,20000,,,
2017,2871,041,0X32,Dental Sealant,60000,,40000,40000
2017,2871,041,0071,Dental Sealant,98000,,,
2017,2871,041,0X67,Dental Sealant,,60000,,60000
2017,2729,041,0X68,Genetics Education / Follow Up Services,,117000,,117000
2017,2812,041,0X72,HIV / AIDS Prevention,,9601000,,9601000
2017,2812,041,0X24,HIV / AIDS Prevention,9467000,,,
2017,2733,041,0X28,HIV / AIDS Surveillance,1108000,,493000,493000
2017,2733,041,0X73,HIV / AIDS Surveillance,524000,1400000,,1400000
2017,2978,041,0X42,HIV Behavioral Surveillance,107000,,,
2017,2978,041,0X71,HIV Behavioral Surveillance,,525000,,525000
2017,2961,041,0X55,HOPWA Housing and Health Study Program,,1002000,,1002000
2017,2961,041,0578,HOPWA Housing and Health Study Program,486000,,,
2017,280N,041,0X95,HPV Vaccine Coverage,500000,,500000,500000
2017,280M,041,0X96,Healthy Chicago 2.0,65000,,65000,65000
2017,2849,041,0X30,Healthy Families Illinois,241000,,,
2017,2849,041,0X70,Healthy Families Illinois,,241000,,241000
2017,280F,041,0H89,Hospital Preparedness Program Ebola Preparedness and Response,2696000,,2500000,2500000
2017,2932,041,0X39,Housing Opportunities for People with AIDS (HOPWA),6981000,,,
2017,2932,041,0H80,Housing Opportunities for People with AIDS (HOPWA),315000,,,
2017,2932,041,0X74,Housing Opportunities for People with AIDS (HOPWA),,6981000,,6981000
2017,2932,041,0H36,Housing Opportunities for People with AIDS (HOPWA),1200000,,,
2017,280A,041,0H88,Immunization Billing Services,500000,,391000,391000
2017,2820,041,0X75,Immunizations and Vaccines for Children,,4689000,,4689000
2017,2820,041,0X26,Immunizations and Vaccines for Children,4620000,,,
2017,2884,041,0X76,Lead Based Paint Hazard Control (Torrens Fund),,250000,,250000
2017,2884,041,0X35,Lead Based Paint Hazard Control (Torrens Fund),250000,,,
2017,2944,041,0X05,Lead Hazard Reduction Demonstration Program,2074000,,,
2017,2944,041,0U00,Lead Hazard Reduction Demonstration Program,,3900000,,3900000
2017,280L,041,0X02,Lead Poisoning Surveillance,,348000,,348000
2017,2730,041,0X77,Local Health Protection,,2541000,,2541000
2017,2910,041,0X38,Maternal and Child Health Block Grant,5000000,,,
2017,2910,041,0X78,Maternal and Child Health Block Grant,,4510000,,4510000
2017,2887,041,0X36,Morbidity and Risk Behavior Surveillance,534000,,175000,175000
2017,2887,041,0H21,Morbidity and Risk Behavior Surveillance,25000,,,
2017,2887,041,0X79,Morbidity and Risk Behavior Surveillance,,540000,,540000
2017,2960,041,0X80,Mosquito Vector Prevention Program (Tire Funds),,380000,,380000
2017,2960,041,0X41,Mosquito Vector Prevention Program (Tire Funds),380000,,,
2017,2737,041,0X52,Reduce HIV and Improve Care for MSM and Transgender People,3024000,3000000,2900000,5900000
2017,280P,041,0X99,Resiliency in Communities After Stress and Trauma,1000000,,1000000,1000000
2017,2721,041,0X15,Resource Conservation,,150000,,150000
2017,2721,041,0H55,Resource Conservation,300000,,300000,300000
2017,2731,041,0H35,Ryan White HIV Care Act Part A - Emergency Relief,1107000,,,
2017,2731,041,0X81,Ryan White HIV Care Act Part A - Emergency Relief,,27729000,,27729000
2017,2731,041,0X20,Ryan White HIV Care Act Part A - Emergency Relief,27729000,,2136000,2136000
2017,2814,041,0X82,Sexually Transmitted Disease Prevention,,2032000,,2032000
2017,2814,041,0X25,Sexually Transmitted Disease Prevention,2088000,,,
2017,2722,041,0X83,Solid Waste Management,,143000,,143000
2017,2984,041,0X84,Summer Food Program,,75000,,75000
2017,2984,041,0H12,Summer Food Program,25000,,,
2017,2984,041,0H84,Summer Food Program,75000,,50000,50000
2017,2878,041,0X85,Tanning Facilities Inspections,,11000,,11000
2017,2878,041,0071,Tanning Facilities Inspections,21000,,,
2017,2998,041,0X86,Tattoo and Body Art Piercing Inspection,,24000,,24000
2017,2998,041,0071,Tattoo and Body Art Piercing Inspection,40000,,,
2017,2702,041,0352,Teen Pregnancy Prevention - Chicago Public Schools,25000,,,
2017,280G,041,0X92,Teen Pregnancy Prevention Evaluation,,1000000,,1000000
2017,280G,041,0X50,Teen Pregnancy Prevention Evaluation,1000000,,,
2017,2868,041,0X87,Tobacco Free Communities,,1025000,,1025000
2017,2725,041,0H06,Translation Research Program,112000,,,
2017,2824,041,0X88,Tuberculosis Control,,1100000,,1100000
2017,2824,041,0X27,Tuberculosis Control,1025000,,,
2017,2720,041,0X14,Underground Storage Tank Inspection,550000,,,
2017,2720,041,0X89,Underground Storage Tank Inspection,,550000,,550000
2017,2808,041,0X90,"Women, Infants and Children Nutrition",,4748000,,4748000
2017,2808,041,0X23,"Women, Infants and Children Nutrition",4748000,,,
2017,280Q,041,0X98,ZIKA Surveillance,200000,,200000,200000
2017,280Q,041,0J43,Community Development Block Grant,11455346,11731412,,11731412
2017,280Q,041,0J43,Total - 041 - Department of Public Health,117114560,104902093,15083000,119985093
2017,280Q,045,0J43,Community Development Block Grant,1157531,1268746,,1268746
2017,280Q,045,0J43,Total - 045 - Commission on Human Relations,1157531,1268746,,1268746
2017,2802,048,0819,Access Chicago Support,70000,,49000,49000
2017,2800,048,0833,Amplified Phones Program (ITAC/TTY),71000,14000,68000,82000
2017,2818,048,0J87,CHA Home Modification Program,92000,,,
2017,2817,048,0833,Disabled Youth Employment Program,1000,,,
2017,2807,048,0819,Home Modification Program - Chicago Fund Support,302000,125000,265000,390000
2017,2804,048,0833,Illustrated Guide,25000,,25000,25000
2017,2830,048,0833,MOPD Special Initiatives Support,27000,,,
2017,2805,048,0J79,Substance Abuse and AIDS Prevention for the Hearing Impaired,200000,,,
2017,2805,048,0J96,Substance Abuse and AIDS Prevention for the Hearing Impaired,,200000,,200000
2017,2812,048,0J80,Work Incentive Planning and Assistance,212000,,,
2017,2812,048,0J97,Work Incentive Planning and Assistance,,212000,,212000
2017,2812,048,0J43,Community Development Block Grant,3089231,2974252,,2974252
2017,2812,048,0J43,Total - 048 - Mayor's Office for People with Disabilities,4089231,3525252,407000,3932252
2017,2959,050,0T28,Aging & Disability Resource Center Enhancement & Nursing Home Deflection Pilot,274000,,,
2017,2904,050,0T36,Area Plan on Aging - Older Americans Act - Federal,,13260000,,13260000
2017,2904,050,0N78,Area Plan on Aging - Older Americans Act - Federal,450000,,,
2017,2904,050,0T06,Area Plan on Aging - Older Americans Act - Federal,13260000,,,
2017,2903,050,0T71,Area Plan on Aging - Older Americans Act - State,,5251000,,5251000
2017,2896,050,0T37,CHA Family Supportive Services,,1582000,,1582000
2017,2896,050,0T04,CHA Family Supportive Services,1582000,,,
2017,2923,050,0T07,Chicago Domestic Violence Help Line,455000,,,
2017,2923,050,0T38,Chicago Domestic Violence Help Line,,455000,,455000
2017,2901,050,0P41,Chicago Fund Support - Senior Services,50000,50000,,50000
2017,2943,050,0T11,Child Care Services,25381215,,,
2017,2943,050,0T39,Child Care Services,,25483334,,25483334
2017,2805,050,0N88,Community Services Block Grant,12671000,,1600000,1600000
2017,2805,050,0N25,Community Services Block Grant,2162000,2162000,,2162000
2017,2805,050,0T40,Community Services Block Grant,,11090000,,11090000
2017,2962,050,0T70,Early Childhood Block Grant,,65000000,,65000000
2017,2956,050,0T42,Early Head Start - Child Care Partnership,,15145000,,15145000
2017,2956,050,0N81,Early Head Start - Child Care Partnership,1000000,,,
2017,2956,050,0T23,Early Head Start - Child Care Partnership,28723000,,8503000,8503000
2017,2857,050,0N98,Early Head Start Initiative,6626000,,,
2017,2857,050,0T41,Early Head Start Initiative,,6626000,,6626000
2017,2846,050,0N97,Elder Abuse and Neglect,53000,,,
2017,2944,050,0T45,Emergency Solutions,,6525000,,6525000
2017,2944,050,0T12,Emergency Solutions,6525000,,,
2017,2942,050,0T10,Emergency and Transitional Housing,4714000,,,
2017,2942,050,0T44,Emergency and Transitional Housing,,4714000,,4714000
2017,2969,050,0T33,Enumeration of Homeless Veterans Point in Time Count,48000,48000,,48000
2017,2815,050,0N90,Foster Grandparents,541000,,,
2017,2815,050,0T46,Foster Grandparents,,541000,,541000
2017,2968,050,0T63,Generic Prevention Domestic Violence,,181000,,181000
2017,2968,050,0T15,Generic Prevention Domestic Violence,181000,,,
2017,2860,050,0N99,Head Start,123084395,,,
2017,2860,050,0T47,Head Start,,121831689,,121831689
2017,2836,050,0T49,Long Term Care Ombudsman Program - CMP,,117000,,117000
2017,2820,050,0N92,Longterm Care System Development,3000,,,
2017,2820,050,0T50,Longterm Care System Development,,56000,,56000
2017,2957,050,0T24,Medicare - Medicaid Alignment Initiative,162000,,,
2017,2957,050,0T52,Medicare - Medicaid Alignment Initiative,,162000,,162000
2017,2937,050,0T51,Medicare Improvements for Patients and Providers Act,,172000,,172000
2017,2937,050,0T18,Medicare Improvements for Patients and Providers Act,172000,,,
2017,2919,050,0T48,Money Follows the Person - Long Term Care,,36000,,36000
2017,2919,050,0N96,Money Follows the Person - Long Term Care,36000,,,
2017,2801,050,0P40,OAA Nutrition Program Income - Congregate Meals,445000,445000,,445000
2017,2802,050,0P40,OAA Nutrition Program Income - Home Delivered Meals,218000,218000,,218000
2017,2807,050,0T54,OAA Title V / Senior Community Service Employment,,948000,,948000
2017,2807,050,0N89,OAA Title V / Senior Community Service Employment,948000,,,
2017,2961,050,0T67,Performance Partnership Pilots for Disconnected Youth,,700000,,700000
2017,2961,050,0T34,Performance Partnership Pilots for Disconnected Youth,700000,,,
2017,2828,050,0T55,Resident Services Coordination / Case Management,,1727000,,1727000
2017,2828,050,0N95,Resident Services Coordination / Case Management,1727000,,,
2017,2831,050,0272,Safe Havens - Supervised Visitation,199000,,,
2017,2910,050,0074,Senior Citizens Picnic Support,25000,25000,,25000
2017,2868,050,0T57,Senior Companion Project - Action,,286000,,286000
2017,2868,050,0T01,Senior Companion Project - Action,285000,,,
2017,2816,050,0P41,Senior Fitness Private,35000,35000,,35000
2017,2946,050,0T58,Senior Health Assistance Program,,302000,,302000
2017,2928,050,0T59,Senior Health Insurance Program,,43000,,43000
2017,2928,050,0T08,Senior Health Insurance Program,43000,,,
2017,2945,050,0T60,Senior Medicare Patrol,,20000,,20000
2017,2945,050,0T13,Senior Medicare Patrol,20000,,,
2017,2837,050,0P64,Senior Program Private Contributions,500000,500000,,500000
2017,2827,050,0N94,Services to Victims of Domestic Violence,238000,,,
2017,2827,050,0T61,Services to Victims of Domestic Violence,,238000,,238000
2017,2938,050,0T09,Shelter Plus Care,1982000,,1767000,1767000
2017,2938,050,0N53,Shelter Plus Care,14576000,,,
2017,2936,050,0869,Shelter Plus Care,165000,,110000,110000
2017,2927,050,0869,Shelter Plus Care,334000,,163000,163000
2017,2938,050,0T62,Shelter Plus Care,,2182000,,2182000
2017,2818,050,0T64,State Foster Grandparents,,32000,,32000
2017,2803,050,0P36,State Senior Companion MATCH,16000,16000,,16000
2017,2862,050,0T65,State Senior Employment Specialist,,25000,,25000
2017,2958,050,0N84,Subsidized and Transitional Employment Demonstration - Bridges to Pathways,1527000,877000,,877000
2017,2953,050,0T68,Summer Jobs Connect Program,,886000,,886000
2017,2953,050,0T19,Summer Jobs Connect Program,966000,,,
2017,2873,050,0T03,Title XX Donated Funds,1101000,,,
2017,2873,050,0T66,Title XX Donated Funds,,1101000,,1101000
2017,2822,050,0168,Warming Center Program - Service Tax Trust Fund,15000,15000,,15000
2017,,050,0J43,Community Development Block Grant,24659854,24071686,,24071686
2017,,050,0J43,Total - 050 - Department of Family and Support Services,278878464,315180709,12143000,327323709
2017,2847,091,0J89,Engaging Library Patrons in the Digital Space,1000000,,,
2017,2895,091,0J78,Illinois Library Development - Per Capita and Area,3326000,,,
2017,2895,091,0J95,Illinois Library Development - Per Capita and Area,,7263000,,7263000
2017,2813,091,0815,Independence Branch Capital,275000,,275000,275000
2017,2843,091,0J84,Independence Branch Capital Construction - Build Illinois Program,1750000,,1750000,1750000
2017,2848,091,0J98,Live and Learn Construction - Northtown,250000,,250000,250000
2017,2842,091,0815,State Capital Construction Program,9051000,,7576000,7576000
2017,2844,091,0J77,Subregional Library for Blind & Physically Handicapped - Talking Book Center,533000,,,
2017,2846,091,0J66,Woodson Branch Construction,832000,,832000,832000
2017,2846,091,0J66,Total - 091 - Chicago Public Library,17017000,7263000,10683000,17946000
2017,2846,091,0J66,Total - Community Services,418256786,432139800,38316000,470455800
2017,2865,023,0J81,Art Works,45000,50000,25000,75000
2017,2855,023,0P72,Chicago Cultural Center Exhibition,100000,250000,,250000
2017,2864,023,0P72,Chicago Cultural Center Foundation,136000,,136000,136000
2017,2862,023,0P72,Chicago Cultural Center Renovation / Restoration,200000,50000,,50000
2017,2859,023,0P73,Chicago Cultural Plan,262000,200000,,200000
2017,2851,023,0P72,Cultural Fund,,50000,,50000
2017,2858,023,0P72,Development / Artists Residency Project,50000,,30000,30000
2017,2829,023,0J67,Farmers Markets,45000,95000,,95000
2017,2870,023,0P73,Fifth Star Awards,160000,160000,,160000
2017,2839,023,0J55,IAC - Community Arts Access Program,139000,,,
2017,2839,023,0J75,IAC - Community Arts Access Program,,148000,,148000
2017,2838,023,0J92,IAC - Partners in Excellence,,47000,,47000
2017,2871,023,0P88,Marketing Promotion Program,,50000,,50000
2017,2849,023,0P72,Millennium Park Workouts,125000,100000,,100000
2017,2863,023,0P72,Public Art Endowment,610000,,610000,610000
2017,2876,023,0J85,Strandbeest Exhibition,47000,,,
2017,2848,023,0P72,Summerdance and World Music Festival,205000,25000,,25000
2017,2848,023,0P72,Total - 023 - Department of Cultural Affairs and Special Events,2124000,1225000,801000,2026000
2017,0S13,054,2878,ARRA - Neighborhood Stabilization Program 3 - Program Income,505000,713000,,713000
2017,0S73,054,2849,ARRA - Neighborhood Stabilization Program Income,4712000,281000,126000,407000
2017,0S85,054,2850,ARRA - Neighborhood Stabilization Program Income,1590000,74000,658000,732000
2017,2881,054,0V06,Chicago Historic Industrial Development,10000,,,
2017,2863,054,0K43,Choice Neighborhoods Implementation,549000,,416000,416000
2017,2880,054,0J63,Community Development Block Grant - Disaster Recovery,8583000,,500000,500000
2017,2868,054,0K32,Foreclosure Prevention Program,56000,1400000,56000,1456000
2017,2819,054,0K11,Home Investment Partnership,5444000,,582000,582000
2017,2819,054,0K14,Home Investment Partnership,11280000,,6038000,6038000
2017,2819,054,0V24,Home Investment Partnership,,15373000,,15373000
2017,2819,054,0K73,Home Investment Partnership,13557000,454000,12628000,13082000
2017,2819,054,0K89,Home Investment Partnership,15373000,,15246000,15246000
2017,2874,054,0K91,Low Income Housing Trust Fund,14561000,22654000,,22654000
2017,2832,054,0K17,Ravenswood Industrial Cooridor,102000,,102000,102000
2017,2882,054,0293,Rental Rehabilitation,1808000,400000,,400000
2017,2882,054,0J43,Community Development Block Grant,31734776,27232478,,27232478
2017,2882,054,0J43,Total - 054 - Department of Planning and Development,109864776,68581478,36352000,104933478
2017,2882,054,0J43,Total - City Development,111988776,69806478,37153000,106959478
2017,,067,0J43,Community Development Block Grant,6738401,6981274,,6981274
2017,,067,0J43,Total - 067 - Department of Buildings,6738401,6981274,,6981274
2017,2815,070,0P20,Cable Local Origination,475000,475000,,475000
2017,2801,070,0J74,Tobacco Enforcement Grant,373000,,,
2017,2801,070,0J94,Tobacco Enforcement Grant,,373000,,373000
2017,2801,070,0K52,Tobacco Enforcement Grant,92000,,92000,92000
2017,2801,070,0K52,Total - 070 - Department of Business Affairs and Consumer Protection,940000,848000,92000,940000
2017,2801,070,0K52,Total - Regulatory,7678401,7829274,92000,7921274
2017,2801,070,0K52,Total - All Programs,1264454000,1250595591,337193409,1587789000
2018,2810,001,0J83,100 Resilient Cities Initiative,131000,168000,,168000
2018,2823,001,0Z07,Cities of Services,25000,,25000,25000
2018,2824,001,0Z09,Community Policing,25000,,,
2018,2826,001,0Z10,Gun Violence,125000,140000,,140000
2018,2827,001,0Z26,HBS Fellows Program,,45000,,45000
2018,2825,001,0Z11,Police Reform,158000,,,
2018,2804,001,0Z01,Smart Grid / Energy Efficiency Consumer Education,,100000,,100000
2018,2804,001,0J38,Smart Grid / Energy Efficiency Consumer Education,100000,,,
2018,2804,001,0J38,Total - 001 - Office of the Mayor,564000,453000,25000,478000
2018,2855,005,0075,Central Grants Management,1952000,1952000,,1952000
2018,2880,005,0J63,Community Development Block Grant - Disaster Recovery,754000,,580000,580000
2018,2820,005,0Z27,Labor Management Cooperation,,95000,,95000
2018,2820,005,0J44,Community Development Block Grant,3684180,3684180,,3684180
2018,2820,005,0J44,Total - 005 - Office of Budget and Management,6390180,5731180,580000,6311180
2018,2829,006,0X61,Bioterrorism Response Planning,439319,459000,,459000
2018,2824,006,0T39,Child Care Services,516666,,,
2018,2823,006,0T47,Head Start,520768,,,
2018,2823,006,0T47,Total - 006 - Department of Innovation and Technology,1476753,459000,,459000
2018,2803,027,0T47,DFSS Accounting,303543,,,
2018,2803,027,0T79,DFSS Accounting,,311546,,311546
2018,2803,027,0J44,Community Development Block Grant,1229158,1229158,,1229158
2018,2803,027,0J44,Total - 027 - Department of Finance,1532701,1540704,,1540704
2018,2803,031,0J44,Community Development Block Grant,1784885,1688869,,1688869
2018,2803,031,0J44,Total - 031 - Department of Law,1784885,1688869,,1688869
2018,2801,035,0Z24,Accelerator's Procurement,50000,,50000,50000
2018,2801,035,0Z24,Total - 035 - Department of Procurement Services,50000,,50000,50000
2018,2851,038,0Z25,Chicago Bee Library Renovation,2320000,,2320000,2320000
2018,2848,038,0Z04,Municipal Brownfields Redevelopment,400000,,400000,400000
2018,2833,038,0079,North Park Villiage Senior Wellness Center,1000000,,1000000,1000000
2018,2842,038,0Z00,Public Sector Energy Efficiency Aggregation Program,255000,274000,,274000
2018,2842,038,0J99,Public Sector Energy Efficiency Aggregation Program,430000,452000,,452000
2018,2836,038,0P14,Streeterville Thorium Moratorium Area Environmental Settlement Funds,2100000,,2000000,2000000
2018,2836,038,0J44,Community Development Block Grant,156929,155994,,155994
2018,2836,038,0J44,Total - 038 - Department of Fleet and Facility Management,6661929,881994,5720000,6601994
2018,2836,038,0J44,Total - Finance and Administration,18460448,10754747,6375000,17129747
2018,2880,084,0L80,Bridge Maintenance - IDOT,750000,,,
2018,2999,084,0J63,CDBG - Disaster Recovery,13652000,,,
2018,2968,084,0W00,Chicago Metropolitan Agency for Planning (CMAP) Local Assistance Program,,250000,,250000
2018,2968,084,0L71,Chicago Metropolitan Agency for Planning (CMAP) Local Assistance Program,250000,,,
