Year,Fund Code,Dept Number,Appropriation Authority,Appropriation Account,Appropriation Account Description,Recommendation,Previous Year Revised,Previous Year Appropriation,Earlier Year Expenditures
2017,0200,033,2005,0000,Personnel Services - Total*,235392,223141,223141,161802
2017,0200,033,2005,0100,Contractual Services,,,,
2017,0200,033,2005,0130,Postage,,148,148,
2017,0200,033,2005,0140,For Professional and Technical Services and Other Third,3808,4460,4460,1703
2017,0200,033,2005,0100,Contractual Services - Total*,3808,4608,4608,1703
2017,0200,033,2005,0200,Travel,,,,
2017,0200,033,2005,0270,Local Transportation,,421,421,
2017,0200,033,2005,0200,Travel - Total*,,421,421,
2017,0200,033,2005,0300,Commodities and Materials,,,,
2017,0200,033,2005,0350,Stationery and Office Supplies,208,208,208,
2017,0200,033,2005,0300,Commodities and Materials - Total*,208,208,208,
2017,0200,033,2005,9000,Purposes as Specified,,,,
2017,0200,033,2005,9067,For Physical Exams,28584,28584,28584,27962
2017,0200,033,2005,9000,Purposes as Specified - Total,28584,28584,28584,27962
2017,0200,033,2005,,Appropriation Total*,267992,256962,256962,191467
2017,0200,035,2005,0000,Personnel Services,,,,
2017,0200,035,2005,0005,Salaries and Wages - on Payroll,184543,194203,194203,181577
2017,0200,035,2005,0015,Schedule Salary Adjustments,1103,2832,2832,
2017,0200,035,2005,0000,Personnel Services - Total*,185646,197035,197035,181577
2017,0200,035,2005,,Appropriation Total*,185646,197035,197035,181577
2017,0200,038,2126,0100,Contractual Services,,,,
2017,0200,038,2126,0125,Office and Building Services,131885,127007,127007,126024
2017,0200,038,2126,0100,Contractual Services - Total*,131885,127007,127007,126024
2017,0200,038,2126,0300,Commodities and Materials,,,,
2017,0200,038,2126,0313,Cleaning and Sanitation Supplies,6274,6000,6000,5452
2017,0200,038,2126,0300,Commodities and Materials - Total*,6274,6000,6000,5452
2017,0200,038,2126,,Appropriation Total*,138159,133007,133007,131476
2017,0200,038,2131,0100,Contractual Services,,,,
2017,0200,038,2131,0140,For Professional and Technical Services and Other Third,122206,122206,122206,90358
2017,0200,038,2131,0155,Rental of Property,354906,417770,417770,403434
2017,0200,038,2131,0100,Contractual Services - Total*,477112,539976,539976,493792
2017,0200,038,2131,0300,Commodities and Materials,,,,
2017,0200,038,2131,0315,Motor Vehicle Diesel Fuel,1282257,1664009,1664009,2571201
2017,0200,038,2131,0320,Gasoline,140531,164357,164357,196117
2017,0200,038,2131,0322,Natural Gas,9883077,12853007,12853007,10611694
2017,0200,038,2131,0331,Electricity,11936091,12141000,12141000,11296887
2017,0200,038,2131,0300,Commodities and Materials - Total*,23241956,26822373,26822373,24675899
2017,0200,038,2131,,Appropriation Total*,23719068,27362349,27362349,25169691
2017,0200,038,2140,0000,Personnel Services,,,,
2017,0200,038,2140,0005,Salaries and Wages - on Payroll,4263336,4169105,4169105,3944306
2017,0200,038,2140,0011,Contract Wage Increment - Salary,,1346,1346,
2017,0200,038,2140,0012,Contract Wage Increment - Prevailing Rate,33052,32414,32414,
2017,0200,038,2140,0020,Overtime,120000,120000,120000,283678
2017,0200,038,2140,0000,Personnel Services - Total*,4416388,4322865,4322865,4227984
2017,0200,038,2140,0100,Contractual Services,,,,
2017,0200,038,2140,0140,For Professional and Technical Services and Other Third,398930,398930,398930,398930
2017,0200,038,2140,0149,For Software Maintenance and Licensing,12883,8692,8692,
2017,0200,038,2140,0160,Repair or Maintenance of Property,65800,65800,65800,40398
2017,0200,038,2140,0161,"Operation, Repair or Maintenance of Facilities",50000,50000,50000,
2017,0200,038,2140,0176,Maintenance and Operation - City Owned Vehicles,219516,219516,219516,123308
2017,0200,038,2140,0100,Contractual Services - Total*,747129,742938,742938,562636
2017,0200,038,2140,0300,Commodities and Materials,,,,
2017,0200,038,2140,0360,Repair Parts and Material,1465798,1465798,1465798,1377848
2017,0200,038,2140,0300,Commodities and Materials - Total*,1465798,1465798,1465798,1377848
2017,0200,038,2140,,Appropriation Total*,6629315,6531601,6531601,6168468
2017,0200,067,2005,0000,Personnel Services,,,,
2017,0200,067,2005,0005,Salaries and Wages - on Payroll,2419611,2362047,2362047,1790485
2017,0200,067,2005,0011,Contract Wage Increment - Salary,,674,674,
2017,0200,067,2005,0012,Contract Wage Increment - Prevailing Rate,23598,23129,23129,
2017,0200,067,2005,0015,Schedule Salary Adjustments,,2476,2476,
2017,0200,067,2005,0000,Personnel Services - Total*,2443209,2388326,2388326,1790485
2017,0200,067,2005,0100,Contractual Services,,,,
2017,0200,067,2005,0159,Lease Purchase Agreements for Equipment and Machinery,,1000,1000,1879
2017,0200,067,2005,0162,Repair/Maintenance of Equipment,,3400,3400,4064
2017,0200,067,2005,0181,Mobile Communication Services,24266,24266,24266,27899
2017,0200,067,2005,0100,Contractual Services - Total*,24266,28666,28666,33842
2017,0200,067,2005,0200,Travel,,,,
2017,0200,067,2005,0229,Transportation and Expense Allowance,17000,17000,17000,18135
2017,0200,067,2005,0200,Travel - Total*,17000,17000,17000,18135
2017,0200,067,2005,0300,Commodities and Materials,,,,
2017,0200,067,2005,0350,Stationery and Office Supplies,3008,3008,3008,763
2017,0200,067,2005,0300,Commodities and Materials - Total*,3008,3008,3008,763
2017,0200,067,2005,,Appropriation Total*,2487483,2437000,2437000,1843225
2017,0200,088,2005,0000,Personnel Services,,,,
2017,0200,088,2005,0005,Salaries and Wages - on Payroll,4619651,3132488,3132488,4067933
2017,0200,088,2005,0011,Contract Wage Increment - Salary,,2679,2679,
2017,0200,088,2005,0012,Contract Wage Increment - Prevailing Rate,28967,9467,9467,
2017,0200,088,2005,0015,Schedule Salary Adjustments,5287,6025,6025,
2017,0200,088,2005,0020,Overtime,82000,82000,82000,71750
2017,0200,088,2005,0000,Personnel Services - Total*,4735905,3232659,3232659,4139683
2017,0200,088,2005,0100,Contractual Services,,,,
2017,0200,088,2005,0130,Postage,200000,158359,158359,105280
2017,0200,088,2005,0140,For Professional and Technical Services and Other Third,3209678,3175678,3175678,2838996
2017,0200,088,2005,0150,Publications and Reproduction - Outside Services to Be,71900,71900,71900,41040
2017,0200,088,2005,0161,"Operation, Repair or Maintenance of Facilities",36000,45000,45000,4552
2017,0200,088,2005,0162,Repair/Maintenance of Equipment,466675,466675,466675,370033
2017,0200,088,2005,0166,"Dues, Subscriptions and Memberships",438000,438000,438000,411720
2017,0200,088,2005,0169,Technical Meeting Costs,22500,22500,22500,3628
2017,0200,088,2005,0181,Mobile Communication Services,12500,12500,12500,12500
2017,0200,088,2005,0189,Telephone - Non-Centrex Billings,12200,10400,10400,8000
2017,0200,088,2005,0190,Telephone - Non-Centrex Billings,300000,310000,310000,264312
2017,0200,088,2005,0196,Data Circuits,501700,510000,510000,366035
2017,0200,088,2005,0197,Telephone - Maintenance and Repair of Equipment and,40580,60350,60350,58950
2017,0200,088,2005,0100,Contractual Services - Total*,5311733,5281362,5281362,4485046
2017,0200,088,2005,0200,Travel,,,,
2017,0200,088,2005,0245,Reimbursement to Travelers,18450,27750,27750,3885
2017,0200,088,2005,0200,Travel - Total*,18450,27750,27750,3885
2017,0200,088,2005,0300,Commodities and Materials,,,,
2017,0200,088,2005,0340,Material and Supplies,334250,359250,359250,299377
2017,0200,088,2005,0348,Books and Related Material,500,500,500,
2017,0200,088,2005,0350,Stationery and Office Supplies,14500,16500,16500,2592
2017,0200,088,2005,0300,Commodities and Materials - Total*,349250,376250,376250,301969
2017,0200,088,2005,0400,Equipment,,,,
2017,0200,088,2005,0424,Furniture and Furnishings,9000,9000,9000,
2017,0200,088,2005,0440,Machinery and Equipment,101000,151000,151000,32500
2017,0200,088,2005,0400,Equipment - Total*,110000,160000,160000,32500
2017,0200,088,2005,,Appropriation Total*,10525338,9078021,9078021,8963083
2017,0200,088,2010,0000,Personnel Services,,,,
2017,0200,088,2010,0005,Salaries and Wages - on Payroll,3837877,3807841,3807841,9315880
2017,0200,088,2010,0011,Contract Wage Increment - Salary,,9864,9864,
2017,0200,088,2010,0015,Schedule Salary Adjustments,17291,24975,24975,
2017,0200,088,2010,0020,Overtime,800000,800000,800000,737481
2017,0200,088,2010,0000,Personnel Services - Total*,4655168,4642680,4642680,10053361
2017,0200,088,2010,0100,Contractual Services,,,,
2017,0200,088,2010,0140,For Professional and Technical Services and Other Third,89452,69368,69368,64654
2017,0200,088,2010,0149,For Software Maintenance and Licensing,80000,95000,95000,392686
2017,0200,088,2010,0154,"For the Rental and Maintenance of Data Processing, Office",90000,90000,90000,42356
2017,0200,088,2010,0159,Lease Purchase Agreements for Equipment and Machinery,139375,275134,275134,110076
2017,0200,088,2010,0168,Educational Development through Cooperative Education,10000,10500,10500,590
2017,0200,088,2010,0169,Technical Meeting Costs,5000,5000,5000,
2017,0200,088,2010,0191,Telephone - Relocations of Phone Lines,5000,5000,5000,3276
2017,0200,088,2010,0100,Contractual Services - Total*,418827,550002,550002,613638
2017,0200,088,2010,0200,Travel,,,,
2017,0200,088,2010,0245,Reimbursement to Travelers,2500,2500,2500,
2017,0200,088,2010,0200,Travel - Total*,2500,2500,2500,
2017,0200,088,2010,0300,Commodities and Materials,,,,
2017,0200,088,2010,0312,Software Purchases,,12500,12500,11016
2017,0200,088,2010,0350,Stationery and Office Supplies,31600,31600,31600,12809
2017,0200,088,2010,0300,Commodities and Materials - Total*,31600,44100,44100,23825
2017,0200,088,2010,0400,Equipment,,,,
2017,0200,088,2010,0446,"For the Purchase of Data Processing, Office Automation and",100930,92415,92415,146525
2017,0200,088,2010,0400,Equipment - Total*,100930,92415,92415,146525
2017,0200,088,2010,9400,Internal Transfers and Reimbursements,,,,
2017,0200,088,2010,9438,For Services Provided by the Department of Fleet and,82500,80000,80000,110000
2017,0200,088,2010,9400,Internal Transfers and Reimbursements - Total,82500,80000,80000,110000
2017,0200,088,2010,,Appropriation Total*,5291525,5411697,5411697,10947349
2017,0200,088,2015,0000,Personnel Services,,,,
2017,0200,088,2015,0005,Salaries and Wages - on Payroll,4362174,4371334,4371334,3325433
2017,0200,088,2015,0011,Contract Wage Increment - Salary,,3973,3973,
2017,0200,088,2015,0012,Contract Wage Increment - Prevailing Rate,23931,24481,24481,
2017,0200,088,2015,0015,Schedule Salary Adjustments,,933,933,
2017,0200,088,2015,0020,Overtime,13000,13000,13000,34111
2017,0200,088,2015,0000,Personnel Services - Total*,4399105,4413721,4413721,3359544
2017,0200,088,2015,0100,Contractual Services,,,,
2017,0200,088,2015,0140,For Professional and Technical Services and Other Third,1800000,1800000,1800000,1692000
2017,0200,088,2015,0144,Engineering and Architecture,1500000,1500000,1500000,1410000
2017,0200,088,2015,0162,Repair/Maintenance of Equipment,2500,2500,2500,613
2017,0200,088,2015,0169,Technical Meeting Costs,9000,9000,9000,8137
2017,0200,088,2015,0100,Contractual Services - Total*,3311500,3311500,3311500,3110750
2017,0200,088,2015,0200,Travel,,,,
2017,0200,088,2015,0229,Transportation and Expense Allowance,42000,42000,42000,37228
2017,0200,088,2015,0245,Reimbursement to Travelers,4500,6000,6000,3144
2017,0200,088,2015,0200,Travel - Total*,46500,48000,48000,40372
2017,0200,088,2015,0300,Commodities and Materials,,,,
2017,0200,088,2015,0340,Material and Supplies,40000,20000,20000,15505
2017,0200,088,2015,0345,Apparatus and Instruments,4000,4000,4000,3579
2017,0200,088,2015,0348,Books and Related Material,1250,1000,1000,360
2017,0200,088,2015,0350,Stationery and Office Supplies,20000,16000,16000,14904
2017,0200,088,2015,0300,Commodities and Materials - Total*,65250,41000,41000,34348
2017,0200,088,2015,0400,Equipment,,,,
2017,0200,088,2015,0424,Furniture and Furnishings,3500,2000,2000,
2017,0200,088,2015,0450,Vehicles,,35000,35000,22998
2017,0200,088,2015,0400,Equipment - Total*,3500,37000,37000,22998
2017,0200,088,2015,,Appropriation Total*,7825855,7851221,7851221,6568012
2017,0200,088,2020,0000,Personnel Services,,,,
2017,0200,088,2020,0005,Salaries and Wages - on Payroll,52461388,51613375,51613375,43196555
2017,0200,088,2020,0011,Contract Wage Increment - Salary,,41811,41811,
2017,0200,088,2020,0012,Contract Wage Increment - Prevailing Rate,577319,569546,569546,
2017,0200,088,2020,0015,Schedule Salary Adjustments,34278,43698,43698,
2017,0200,088,2020,0020,Overtime,4018673,4018673,4018673,9587513
2017,0200,088,2020,0000,Personnel Services - Total*,57091658,56287103,56287103,52784068
2017,0200,088,2020,0100,Contractual Services,,,,
2017,0200,088,2020,0125,Office and Building Services,342000,342000,342000,94510
2017,0200,088,2020,0140,For Professional and Technical Services and Other Third,100000,100000,100000,44599
2017,0200,088,2020,0148,Testing and Inspecting,313000,181000,181000,231697
2017,0200,088,2020,0157,Rental of Equipment and Services,191000,176000,176000,167728
2017,0200,088,2020,0160,Repair or Maintenance of Property,1406800,1403800,1403800,1317471
2017,0200,088,2020,0162,Repair/Maintenance of Equipment,5767500,5742500,5742500,5697292
2017,0200,088,2020,0169,Technical Meeting Costs,213800,213200,213200,59807
2017,0200,088,2020,0100,Contractual Services - Total*,8334100,8158500,8158500,7613104
2017,0200,088,2020,0200,Travel,,,,
2017,0200,088,2020,0245,Reimbursement to Travelers,5293,4793,4793,431
2017,0200,088,2020,0200,Travel - Total*,5293,4793,4793,431
2017,0200,088,2020,0300,Commodities and Materials,,,,
2017,0200,088,2020,0314,Fuel Oil,390000,390000,390000,83985
2017,0200,088,2020,0340,Material and Supplies,1943800,1678800,1678800,1650783
2017,0200,088,2020,0342,"Drugs, Medicine and Chemical Materials",14625967,15288221,15288221,13407125
2017,0200,088,2020,0345,Apparatus and Instruments,350000,350000,350000,235225
2017,0200,088,2020,0348,Books and Related Material,6000,6000,6000,
2017,0200,088,2020,0350,Stationery and Office Supplies,66000,54000,54000,58127
2017,0200,088,2020,0360,Repair Parts and Material,1453687,1453687,1453687,1386688
2017,0200,088,2020,0300,Commodities and Materials - Total*,18835454,19220708,19220708,16821933
2017,0200,088,2020,0400,Equipment,,,,
2017,0200,088,2020,0401,Tools Less Than or Equal to $100/Unit,18200,18200,18200,11860
2017,0200,088,2020,0402,Tools Greater Than $100/Unit,15500,15500,15500,3035
2017,0200,088,2020,0410,Equipment for Buildings,175000,175000,175000,139104
2017,0200,088,2020,0424,Furniture and Furnishings,2000,2000,2000,
2017,0200,088,2020,0440,Machinery and Equipment,737800,737800,737800,655648
2017,0200,088,2020,0445,Technical and Scientific Equipment,436000,436000,436000,251535
2017,0200,088,2020,0450,Vehicles,360000,360000,360000,356600
2017,0200,088,2020,0400,Equipment - Total*,1744500,1744500,1744500,1417782
2017,0200,088,2020,9400,Internal Transfers and Reimbursements,,,,
2017,0200,088,2020,9484,For Services Provided by the Chicago Department of,100000,100000,100000,
2017,0200,088,2020,9400,Internal Transfers and Reimbursements - Total,100000,100000,100000,
2017,0200,088,2020,,Appropriation Total*,86111005,85515604,85515604,78637318
2017,0200,088,2025,0000,Personnel Services,,,,
2017,0200,088,2025,0005,Salaries and Wages - on Payroll,58457192,50019719,50019719,51799832
2017,0200,088,2025,0011,Contract Wage Increment - Salary,,4132,4132,
2017,0200,088,2025,0012,Contract Wage Increment - Prevailing Rate,675830,589858,589858,
2017,0200,088,2025,0015,Schedule Salary Adjustments,3448,18354,18354,
2017,0200,088,2025,0020,Overtime,3062356,3062356,3062356,6427371
2017,0200,088,2025,0000,Personnel Services - Total*,62198826,53694419,53694419,58227203
2017,0200,088,2025,0100,Contractual Services,,,,
2017,0200,088,2025,0140,For Professional and Technical Services and Other Third,4740676,4740676,4740676,4455901
2017,0200,088,2025,0157,Rental of Equipment and Services,1175100,1175100,1175100,1104379
2017,0200,088,2025,0160,Repair or Maintenance of Property,323800,524000,524000,490870
2017,0200,088,2025,0162,Repair/Maintenance of Equipment,100000,102000,102000,93666
2017,0200,088,2025,0169,Technical Meeting Costs,1327,2614,2614,48
2017,0200,088,2025,0181,Mobile Communication Services,240000,200000,200000,187690
2017,0200,088,2025,0185,Waste Disposal Services,2942710,2942710,2942710,2504544
2017,0200,088,2025,0188,Vehicle Tracking Service,166000,234480,234480,203560
2017,0200,088,2025,0100,Contractual Services - Total*,9689613,9921580,9921580,9040658
2017,0200,088,2025,0200,Travel,,,,
2017,0200,088,2025,0229,Transportation and Expense Allowance,,25920,25920,
2017,0200,088,2025,0200,Travel - Total*,,25920,25920,
2017,0200,088,2025,0300,Commodities and Materials,,,,
2017,0200,088,2025,0316,Gas - Bottled and Propane,161440,161440,161440,127408
2017,0200,088,2025,0340,Material and Supplies,1118300,1118300,1118300,1143619
2017,0200,088,2025,0350,Stationery and Office Supplies,56930,56930,56930,32594
2017,0200,088,2025,0360,Repair Parts and Material,5861553,5861553,5861553,4511507
2017,0200,088,2025,0300,Commodities and Materials - Total*,7198223,7198223,7198223,5815128
2017,0200,088,2025,0400,Equipment,,,,
2017,0200,088,2025,0401,Tools Less Than or Equal to $100/Unit,3000,3000,3000,1820
2017,0200,088,2025,0423,Communication Devices,1000,1000,1000,
2017,0200,088,2025,0424,Furniture and Furnishings,3000,3000,3000,
2017,0200,088,2025,0440,Machinery and Equipment,547215,547215,547215,366583
2017,0200,088,2025,0446,"For the Purchase of Data Processing, Office Automation and",100000,100000,100000,93946
2017,0200,088,2025,0400,Equipment - Total*,654215,654215,654215,462349
2017,0200,088,2025,0500,Permanent Improvements,,,,
2017,0200,088,2025,0521,Maintenance and Construction,2946315,2946315,2946315,2942051
2017,0200,088,2025,0500,Permanent Improvements - Total*,2946315,2946315,2946315,2942051
2017,0200,088,2025,9400,Internal Transfers and Reimbursements,,,,
2017,0200,088,2025,9481,For Services Provided by the Department of Streets and,367919,367919,367919,13680
2017,0200,088,2025,9400,Internal Transfers and Reimbursements - Total,367919,367919,367919,13680
2017,0200,088,2025,,Appropriation Total*,83055111,74808591,74808591,76501069
2017,0200,088,2035,0000,Personnel Services,,,,
2017,0200,088,2035,0005,Salaries and Wages - on Payroll,11187250,11864159,11864159,9588754
2017,0200,088,2035,0011,Contract Wage Increment - Salary,,1925,1925,
2017,0200,088,2035,0012,Contract Wage Increment - Prevailing Rate,69182,78033,78033,
2017,0200,088,2035,0015,Schedule Salary Adjustments,9960,16092,16092,
2017,0200,088,2035,0020,Overtime,118000,118000,118000,198705
2017,0200,088,2035,0000,Personnel Services - Total*,11384392,12078209,12078209,9787459
2017,0200,088,2035,0100,Contractual Services,,,,
2017,0200,088,2035,0140,For Professional and Technical Services and Other Third,15000,20000,20000,2018
2017,0200,088,2035,0189,Telephone - Non-Centrex Billings,6100,5200,5200,4000
2017,0200,088,2035,0100,Contractual Services - Total*,21100,25200,25200,6018
2017,0200,088,2035,0200,Travel,,,,
2017,0200,088,2035,0229,Transportation and Expense Allowance,31500,31500,31500,31208
2017,0200,088,2035,0245,Reimbursement to Travelers,1625,1625,1625,166
2017,0200,088,2035,0200,Travel - Total*,33125,33125,33125,31374
2017,0200,088,2035,0300,Commodities and Materials,,,,
2017,0200,088,2035,0340,Material and Supplies,40500,40500,40500,40323
2017,0200,088,2035,0350,Stationery and Office Supplies,12500,17500,17500,1978
2017,0200,088,2035,0360,Repair Parts and Material,104500,104500,104500,86616
2017,0200,088,2035,0300,Commodities and Materials - Total*,157500,162500,162500,128917
2017,0200,088,2035,0400,Equipment,,,,
2017,0200,088,2035,0401,Tools Less Than or Equal to $100/Unit,6000,6000,6000,
2017,0200,088,2035,0424,Furniture and Furnishings,5000,5000,5000,4432
2017,0200,088,2035,0446,"For the Purchase of Data Processing, Office Automation and",10000,10000,10000,7746
2017,0200,088,2035,0450,Vehicles,56000,46000,46000,46000
2017,0200,088,2035,0400,Equipment - Total*,77000,67000,67000,58178
2017,0200,088,2035,,Appropriation Total*,11673117,12366034,12366034,10011946
2017,0200,099,2005,0000,Personnel Services,,,,
2017,0200,099,2005,0003,Scheduled Wage Adjustments,,123826,123826,
2017,0200,099,2005,0029,For Health Maintenance Organization Premiums (HMO),6158926,6474396,6474396,5898011
2017,0200,099,2005,0042,For the Costs of Claims and Administration for Hospital and,14171682,13688995,13688995,12703134
2017,0200,099,2005,0045,For the Cost of Claims and Administration or Premiums for,149437,156505,156505,148262
2017,0200,099,2005,0049,Claims and Costs of Administration Pursuant to the Workers',12000000,11500000,11500000,28219773
2017,0200,099,2005,0051,Claims Under Unemployment Insurance Act,483710,483710,483710,182415
2017,0200,099,2005,0052,Costs of Claims and Administration for Hospital and Medical,504142,1618773,1618773,3048231
2017,0200,099,2005,0056,For the Cost of Claims and Administration or Premiums for a,726381,656525,656525,646375
2017,0200,099,2005,0070,Tuition Reimbursement and Educational Programs,40000,40000,40000,37346
2017,0200,099,2005,0000,Personnel Services - Total*,34234278,34742730,34742730,50883547
2017,0200,099,2005,0100,Contractual Services,,,,
2017,0200,099,2005,0121,Investigation Costs.  To Be Expended at the Direction of the,602550,602550,602550,302669
2017,0200,099,2005,0138,For Professional Services for Information Technology,2230213,1756035,1756035,1643113
2017,0200,099,2005,0140,For Professional and Technical Services and Other Third,2253504,2348143,2348143,2452788
2017,0200,099,2005,0142,Accounting and Auditing,442500,442500,442500,316260
2017,0200,099,2005,0149,For Software Maintenance and Licensing,2139,1256,1256,
2017,0200,099,2005,0172,For the Cost of Insurance Premiums and Expenses,1000000,1000000,1000000,1000000
2017,0200,099,2005,0100,Contractual Services - Total*,6530906,6150484,6150484,5714830
2017,0200,099,2005,0900,Financial Purposes as Specified,,,,
2017,0200,099,2005,0902,Interest on First Lien Bonds,138910546,154675000,154675000,133497336
2017,0200,099,2005,0905,For Payment to Metropolitan Sanitary District for Wastewater,13000000,13000000,13000000,12818847
2017,0200,099,2005,0908,For Redemption of Water Revenue Bonds,78991134,63745000,63745000,52434678
2017,0200,099,2005,0931,"For the Payment of Tort and Non-Tort Judgments, Outside",6414000,8650000,8650000,3441005
2017,0200,099,2005,0934,Claims for Damages and Liabilities Against the City When,15000,15000,15000,5394
2017,0200,099,2005,0958,For Payment of Water Pipe Extension Certificates,222000,222000,222000,33149
2017,0200,099,2005,0900,Financial Purposes as Specified - Total,237552680,240307000,240307000,202230409
2017,0200,099,2005,9000,Purposes as Specified,,,,
2017,0200,099,2005,9027,For the City Contribution to Social Security Tax,37191,33400,33400,28160
2017,0200,099,2005,9076,City's Contribution to Medicare Tax,1574224,1532314,1532314,1626976
2017,0200,099,2005,9097,For Capital Construction,134607659,138301808,138301808,96485648
2017,0200,099,2005,9000,Purposes as Specified - Total,136219074,139867522,139867522,98140784
2017,0200,099,2005,9600,Reimbursements,,,,
2017,0200,099,2005,9611,To Reimburse the Corporate Fund for Indirect Costs,69812000,83110000,83110000,67990726
2017,0200,099,2005,9612,Adjustment for Indirect Pension Payment,,5297000,5297000,
2017,0200,099,2005,9645,To Reimburse the Corporate Fund for Indirect Pension,14925000,,,
2017,0200,099,2005,9600,Reimbursements - Total,84737000,88407000,88407000,67990726
2017,0200,099,2005,9700,Reimbursable Transfers Between Funds,,,,
2017,0200,099,2005,9765,Transfer for Contractual Services,625000,625000,625000,625000
2017,0200,099,2005,9773,Transfer for Services provided by the Department of Police,1470301,1470301,1470301,1470301
2017,0200,099,2005,9774,Transfer for Services provided by the Office of Emergency,325000,325000,325000,
2017,0200,099,2005,9700,Reimbursable Transfers Between Funds - Total,2420301,2420301,2420301,2095301
2017,0200,099,2005,9900,Pension Purposes as Specified,,,,
2017,0200,099,2005,9980,Municipal Fund Pension Allocation,18949000,18488622,18488622,11113000
2017,0200,099,2005,9981,Laborers' Fund Pension Allocation,5532000,4195811,4195811,1567232
2017,0200,099,2005,9900,Pension Purposes as Specified - Total,24481000,22684433,22684433,12680232
2017,0200,099,2005,,Appropriation Total*,526175239,534579470,534579470,439735829
2017,0300,015,2230,0000,Personnel Services,437750,429167,429167,395092
2017,0300,015,2230,9000,Purposes as Specified,16387,16387,16387,36387
2017,0300,015,2230,,Appropriation Total*,454137,445554,445554,431479
2017,0300,015,2265,0000,Personnel Services,244379,239587,239587,198080
2017,0300,015,2265,0300,Commodities and Materials,5000,5000,5000,5000
2017,0300,015,2265,,Appropriation Total*,249379,244587,244587,203080
2017,0300,025,2005,0000,Personnel Services,,,,
2017,0300,025,2005,0005,Salaries and Wages - on Payroll,4004402,3981526,3981526,3366446
2017,0300,025,2005,0011,Contract Wage Increment - Salary,,11270,11270,
2017,0300,025,2005,0015,Schedule Salary Adjustments,3765,18021,18021,
2017,0300,025,2005,0020,Overtime,65000,75000,75000,43807
2017,0300,025,2005,0039,For the Employment of Students as Trainees,100000,100000,100000,90475
2017,0300,025,2005,0000,Personnel Services - Total*,4173167,4185817,4185817,3500728
2017,0300,025,2005,0100,Contractual Services,,,,
2017,0300,025,2005,0130,Postage,912600,932600,932600,823797
2017,0300,025,2005,0139,For Professional Services for Information Technology,345000,352800,352800,492639
2017,0300,025,2005,0140,For Professional and Technical Services and Other Third,840473,849500,849500,693061
2017,0300,025,2005,0154,"For the Rental and Maintenance of Data Processing, Office",24161,18116,18116,8514
2017,0300,025,2005,0157,Rental of Equipment and Services,35802,32200,32200,23174
2017,0300,025,2005,0162,Repair/Maintenance of Equipment,8775,25561,25561,28472
2017,0300,025,2005,0181,Mobile Communication Services,17160,21500,21500,21500
2017,0300,025,2005,0190,Telephone - Non-Centrex Billings,20740,22712,22712,
2017,0300,025,2005,0197,Telephone - Maintenance and Repair of Equipment and,10676,12444,12444,
2017,0300,025,2005,0100,Contractual Services - Total*,2215387,2267433,2267433,2091157
2017,0300,025,2005,0200,Travel,,,,
2017,0300,025,2005,0229,Transportation and Expense Allowance,23940,23940,23940,6256
2017,0300,025,2005,0200,Travel - Total*,23940,23940,23940,6256
2017,0300,025,2005,0300,Commodities and Materials,,,,
2017,0300,025,2005,0338,"License Sticker, Tag and Plates",280170,235645,235645,238290
2017,0300,025,2005,0340,Material and Supplies,5400,5400,5400,3502
2017,0300,025,2005,0350,Stationery and Office Supplies,137000,175000,175000,94147
2017,0300,025,2005,0300,Commodities and Materials - Total*,422570,416045,416045,335939
2017,0300,025,2005,9400,Internal Transfers and Reimbursements,,,,
2017,0300,025,2005,9438,For Services Provided by the Department of Fleet and,20000,30000,30000,35833
2017,0300,025,2005,9400,Internal Transfers and Reimbursements - Total,20000,30000,30000,35833
2017,0300,025,2005,,Appropriation Total*,6855064,6923235,6923235,5969913
2017,0300,027,2015,0000,Personnel Services,,,,
2017,0300,027,2015,0005,Salaries and Wages - on Payroll,427552,503860,503860,498765
2017,0300,027,2015,0000,Personnel Services - Total*,427552,503860,503860,498765
2017,0300,027,2015,,Appropriation Total*,427552,503860,503860,498765
2017,0300,027,2020,0000,Personnel Services,,,,
2017,0300,027,2020,0005,Salaries and Wages - on Payroll,473085,461421,461421,452708
2017,0300,027,2020,0011,Contract Wage Increment - Salary,,2378,2378,
2017,0300,027,2020,0000,Personnel Services - Total*,473085,463799,463799,452708
2017,0300,027,2020,0100,Contractual Services,,,,
2017,0300,027,2020,0130,Postage,4500,4500,4500,
2017,0300,027,2020,0100,Contractual Services - Total*,4500,4500,4500,
2017,0300,027,2020,0300,Commodities and Materials,,,,
2017,0300,027,2020,0350,Stationery and Office Supplies,500,500,500,279
2017,0300,027,2020,0300,Commodities and Materials - Total*,500,500,500,279
2017,0300,027,2020,0400,Equipment,,,,
2017,0300,027,2020,0421,Machinery and Equipment,1177575,600000,600000,
2017,0300,027,2020,0400,Equipment - Total*,1177575,600000,600000,
2017,0300,027,2020,,Appropriation Total*,1655660,1068799,1068799,452987
2017,0300,031,2005,0000,Personnel Services,,,,
2017,0300,031,2005,0005,Salaries and Wages - on Payroll,1351912,1180228,1180228,1028526
2017,0300,031,2005,0011,Contract Wage Increment - Salary,,186,186,
2017,0300,031,2005,0020,Overtime,700,1575,1575,
2017,0300,031,2005,0039,For the Employment of Students as Trainees,333,333,333,
2017,0300,031,2005,0000,Personnel Services - Total*,1352945,1182322,1182322,1028526
2017,0300,031,2005,0100,Contractual Services,,,,
